ACC,Cell membrane,Cytoplasm,Endoplasmic reticulum,Golgi apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome
Q96E14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q99615,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q3TYA6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9NVF7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6QNY1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9D1M4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
O43324,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
P52824,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6P5E8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q2TBK2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P20108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8CD10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q3UMR5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8NE86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8IYU8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q5VY80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8K2M3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96IV0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P82673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O35857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O35094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9BSF4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O43615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q99N92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9NX46,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Q9JLZ3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9Y584,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9H5N1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Q8R0N6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q4QQW3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9BZM6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q6H3X3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q6H3X3-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8TBC3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q8N1B4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
O75489,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9NXG6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9R194,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8NBN3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q96BY9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q99714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P23025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q32PI5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P30153,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9JIF0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q99873,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q63009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P55263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q60415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
P40855,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Q99567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9Y2P7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q53H96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8TCE6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A2APF3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8R5K5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q96S52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P26696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6ZRP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9H1K1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9D023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P10109,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q6AXT5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
P35282,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Q9UL25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Q9HD33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P27544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9R0E1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q8NCN4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8NEY3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9Z266,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Q9WUI0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9CXF4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P62070,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q92913,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
C7IVR4-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6ZN18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P18146,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
P08046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q96C12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UJS0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q96EL3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q2HJF1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P35613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P35613-2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Q19087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P26453-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P18572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P18572-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3ULF4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P0C2C0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8IVS8-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8IVS8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P08503,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P11181,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9NPA0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P62877,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q969N2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O43598,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9NVX0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P24483,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8N335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96N21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Q9BRD0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
G5EGK8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P78345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8NBJ5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9UBL9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8K3P1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96S44,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9NP92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q3TD49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q5EBP3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96AB3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q5UCC4-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96RQ3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q5VWZ2-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q5VWZ2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6P6C2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9R1S0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P51787,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
P61793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8CEE0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q86XR8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q12933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P16260,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P35525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6VN19,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6VN20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q02040,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P49411,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P23709,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9NS69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8TCT7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Q2TBS2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A0A1D5PUP4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3MHY7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q7Z7H8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P30048,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q9NWU5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9NVX2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q2KID9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8R2U2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9BT78,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
P82350,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9YHT2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9BX68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q86U28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9UKM7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P49406,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q64702,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8K1R3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8TCS8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9Y2S7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Q62940,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8IYE1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6STE5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q3TWL2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q86T03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q8N4L2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q9CZX7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q8TDD1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C4N147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9CZ91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96GM8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q15042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96MU7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9QY02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E9Q5K9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6TLK4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9HAP2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Q2VPU4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Q9CW46,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q95250,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O55022,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q5VVJ2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8BR07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q8WYA1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8WTS1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
B2RYG6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8BWC0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q91XT6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q12907,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Q96NL6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8IWB7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q96P53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q8BUB4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Q8CF90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8NHW3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
D3ZNT6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P69682,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9CR95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P54842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P54841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8N2W9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9JM05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F1R4C4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8N6H7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Q99NI4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q14116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6XQN6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O60749,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q5HZV9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O08582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
D2XV59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q15916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q96BP3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
P35638,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
P35639,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q13438,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9UBP6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9GZS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q07230,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6NZY4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8N766,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q68FY1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8NFH5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9D5S7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q7Z6M4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q95PA1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P0DQJ0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q7L0Y3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O60783,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8NBT2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q92499,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P28288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
O76003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9CQM9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P17790,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P17790-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8WUD6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q15554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O35144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9Y4X0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O15173,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Q8N668,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Q9NU63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q2TAA5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P11310,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q96B26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q08274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9UL63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q99PV3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O89050,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q15061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6ZQL4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8BKJ9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9NRC8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8BK35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q99836,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8IY95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
O15514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9BX70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9NZM5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q14807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9QZK2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9UJJ9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q9NX14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9UNL4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8C0D7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q15427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q923V8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q15628,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O60765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q9QX60,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q00558,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Q14406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8NG57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O75607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q15109-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8VD46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O88630,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q62931,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O08522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q2TBU3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O95249,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q5HZG9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q62897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Z0V2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q63881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9NZV8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P52272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q62826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6PD74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O94888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8TAF3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Q96HW7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q12794,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q9D2N9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q969Z0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
O95926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q0VDF9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q19537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q8NI60,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8WXB4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q966V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y3C6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q22038,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P08134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P61586,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P62746,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Q6UXV4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q92633,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Q9Z0J5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q8IZT9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q5SWK7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9DGP9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9ULT0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q70KY4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
P52304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P50116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P35232,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
P67778,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
P80703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8WWT9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q91VA3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q78EJ9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P42026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q9NP79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9CR26,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Q5VW38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q9XTF3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96PB1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Q9Y2Q9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
P82928,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q96NT0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P47897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9H8H0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
O17608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9BXU7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q792I0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9Y256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E9QI36-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
